Coverage,Length,Time,Dataset,Method,Algorithm,m,LogTime
1.0,2.866579947541746,0.01472020149230957,Boston,RO-StabCP,RLM,1,-1.8320862452703077
0.93,2.8965142736035987,1.2272849082946777,Boston,RO-StabCP,RLM,100,0.08894539380848515
1.0,2.8655037218496324,0.014657974243164062,Boston,LOO-StabCP,RLM,1,-1.8339260457798787
0.93,2.89606588417093,0.014984846115112305,Boston,LOO-StabCP,RLM,100,-1.8243477126249585
0.0,2.841402003883822,0.015259742736816406,Boston,OracleCP,RLM,1,-1.8164527880667762
0.93,2.886600442342096,1.1991839408874512,Boston,OracleCP,RLM,100,0.07888580393740163
0.0,2.7805544832919136,0.9581859111785889,Boston,FullCP,RLM,1,-0.018550219140969573
0.91,2.8485309958211094,73.42013001441956,Boston,FullCP,RLM,100,1.8658151492294632
0.0,2.5294426538308525,0.011215686798095703,Boston,SplitCP,RLM,1,-1.950174127030588
0.93,3.1391847220512457,0.010293006896972656,Boston,SplitCP,RLM,100,-1.9874577362189993
0.0,2.851968585740579,0.014939069747924805,Boston,RO-StabCP,RLM,1,-1.825676445085638
0.93,2.9031881866501177,1.2224059104919434,Boston,RO-StabCP,RLM,100,0.08721544110713066
0.0,2.84985651790418,0.014853954315185547,Boston,LOO-StabCP,RLM,1,-1.8281579161342583
